Q463796,撞擊事件
Q1190554,事件
Q1227249,外交事件
Q1371150,人质事件
Q1656682,事件
Q1907476,大量傷患事件
Q2030030,缺氧事件
Q2438548,死亡事件
Q2680861,瞬變天文事件
Q3241045,疾病爆发事件
Q3774758,宗派暴力事件
Q7214908,Category:事件
Q8228287,民航机击落事件
Q10290214,事件
Q11291721,奧姆真理教事件
Q11481825,幕末の外国人襲撃・殺害事件
Q11483816,年度事件
Q11519624,三岛女子短期大学生烧杀事件
Q13418847,历史事件
Q14136353,虚构事件
Q15275719,周期事件
Q15850900,潮汐撕裂事件
Q17076801,國際公共衛生緊急事件
Q18389970,閃電崩盤事件
Q18608583,周期性体育事件
Q18669875,事件
Q21480300,大规模枪击事件
Q24910170,2015-16年SWIFT银行系统入侵事件
Q27968055,单次经常性事件
Q29056927,公共卫生紧急事件
Q30880545,沉船事件
Q42915628,美国的大规模枪击事件
Q38936,狗类活动
Q51647,基督教传教活动
Q182020,舱外活动
Q214961,即兴音乐活动
Q449111,开发活动
Q505748,火山活动
Q699417,欧盟的海外干预活动
Q872181,童军活动
Q1914636,活动
Q2223653,恐怖活动
Q2558684,联合国纪念活动
Q7885923,Category:非正式纪念活动
Q18812548,宣传活动
Q20639925,2016年美国总统竞选活动
Q61788060,人类活动
Q15105,部长会议
Q26718,大陆会议
Q111161,宗教会议
Q186431,教宗选举秘密会议
Q207304,三级会议
Q238354,视频会议
Q267276,叙利亚部长会议
Q442781,网络会议
Q467938,美洲国家首脑会议
Q625994,会议
Q1543677,网络会议
Q1781367,政府间会议
Q2139567,帝国会议
Q7139361,堂区会议
Q7888355,联合国气候变化会议
Q15900647,系列会议
Q16850120,葡萄牙部长会议
Q17276616,国际奥林匹克委员会全体会议
Q18287076,全体会议
Q54913642,波兰维基媒体协会会议
Q198,战争
Q48249,马岛战争
Q152499,半岛战争
Q165725,巴尔干战争
Q184425,太平洋战争
Q201424,核战争
Q471145,空中战争
Q474138,侵略战争
Q483610,化学战争
Q766875,种族战争
Q1006311,民族解放战争
Q1469686,永恒战争
Q1827102,宗教战争
Q180684,冲突
Q211067,利益冲突
Q350604,武装冲突
Q1225409,莫洛冲突
Q154494,T-4行动
Q420474,伪旗行动
Q451967,人类行动
Q645883,军事行动
Q769620,社会行动
Q1060062,特种行动
Q3309962,治安行动
Q4026292,行动
Q131406,拒绝服务攻击
Q135005,钓鱼式攻击
Q217327,自杀攻击
Q2267081,旁路攻击
Q17329819,分布式拒绝服务攻击
Q18711682,驾车攻击
Q7178,国际红十字与红新月运动
Q29358,定向运动
Q31645,多项目运动
Q36908,登山运动
Q49773,社会运动
Q53121,自行车运动
Q61065,水类运动
Q81659,褶皱运动
Q138796,抵抗运动
Q156112,普世教会合一运动
Q157146,法国抵抗运动
Q170346,东向移民运动
Q183308,新纪元运动
Q184554,造山运动
Q192832,迷彩漆弹运动
Q204686,冬季运动
Q206989,射击运动
Q208701,劳工运动
Q209225,解放运动
Q216048,团队运动
Q309162,极限运动
Q327401,抵抗运动
Q337979,力量运动
Q384764,世界语运动
Q597260,阿利亚运动
Q658879,船体运动
Q708312,和平运动
Q840828,华力西造山运动
Q847301,政治运动
Q877517,球类运动
Q898144,自由文化运动
Q911069,板类运动
Q939103,占领运动
Q968159,艺术运动
Q968907,户外运动
Q1018769,毁坏圣像运动
Q1088777,保护运动
Q1129261,反堕胎运动
Q1188693,智力运动
Q1323572,改革运动
Q1957787,无线电运动
Q2094191,第二次世界大战抵抗运动
Q2198855,文化运动
Q2215841,自行车运动
Q2267018,横向运动
Q2284014,联系运动
Q2419495,挪威抵抗运动
Q2657568,十月八日革命运动
Q2755547,个人运动
Q2915955,哲学运动
Q3244329,占领伦敦运动
Q3318733,独立运动
Q3568028,维基媒体运动
Q4612907,LGBT权利运动
Q5176993,反社会运动
Q6707256,吕克昂运动
Q7128792,技击运动
Q8189417,生态运动
Q15580856,女性解放运动
Q15855160,投掷运动
Q175331,示威
Q15631336,遊行示威
Q23058648,反特朗普示威
Q27648946,2016年韩国示威
Q273120,抗议
Q1210697,装死抗议
Q40231,选举
Q47566,美国总统选举
Q691731,1997年法国议会选举
Q1007356,联邦议院选举
Q1128324,欧洲议会选举
Q1424189,集群节点选举
Q1499496,德国总统选举
Q3586832,1998年法国县选举
Q3586834,2001年法国县选举
Q3586835,2004年法国县选举
Q3586838,2008年法国县选举
Q3586840,2011年法国县选举
Q3587397,法国大区选举
Q4128699,俄罗斯总统选举
Q5354870,佛蒙特州选举
Q5354906,台湾选举
Q5518574,大韩民国总统选举
Q6508670,党领袖选举
Q10858057,伊朗伊斯兰议会选举
Q11931634,捷克参议院选举
Q12778811,斯洛伐克总统选举
Q14006248,法国选举
Q15261477,州长选举
Q15273379,香港立法会选举
Q15280243,市长选举
Q15966540,地方选举
Q16684585,2015年法国省选举
Q18591647,香港行政长官选举
Q19801853,中华民国总统、副总统选举
Q19803127,澳门行政长官选举
Q20085071,中华民国国民大会代表选举
Q24333627,美国参议院选举
Q24410897,中华民国立法委员选举
Q28456918,外国干预选举
Q35647389,推迟选举
Q76853179,群组选举
Q92282907,利马索尔市市长选举
Q45382,政变
Q4460509,自我政变
Q25906438,未遂政变
Q114380,金融危机
Q290178,经济危机
Q380552,宪法危机
Q381072,危机
Q773335,债务危机
Q1098831,水危机
Q1417912,货币危机
Q2382319,生态危机
Q3002772,政治危机
Q3002774,健康危机
Q2001676,军事攻势
