Q7809,联合国教育、科学与文化组织
Q15028,国际标准化组织
Q41550,经济合作与发展组织
Q43229,组织
Q72468,官僚组织
Q79913,非政府组织
Q163740,非营利组织
Q203850,神经组织
Q205386,世界犹太复国主义组织
Q484652,国际组织
Q563787,健康维护组织
Q627272,雇主组织
Q628801,劳动组织
Q708676,慈善组织
Q844787,乌克兰民族主义组织
Q851563,纪念碑组织
Q986161,裸体自行车游行组织
Q1194093,国际非政府组织
Q1329436,消费者组织
Q1572070,青年组织
Q1685451,学生组织
Q1785733,环境组织
Q2363019,波兰抵抗组织
Q2493450,青年政治组织
Q2659904,政府组织
Q2717262,行政组织
Q3356062,环保非政府组织
Q3356135,法国廉价房屋管理组织
Q3591564,市镇公共合作组织
Q4120211,地区组织
Q4430243,社会组织
Q4438121,体育组织
Q5274065,教导式组织
Q5341295,教育组织
Q7210356,政治组织
Q7551856,工党会员组织
Q7699489,房客管理组织
Q11422536,国际体育组织
Q14623646,虚构组织
Q15265344,广播组织
Q15277759,国家标准组织
Q15627509,军事组织
Q17127659,恐怖组织
Q17149090,武装组织
Q18325436,501(c)(3)非营利组织
Q11204,立法机构
Q35535,警察机构
Q35798,行政机构
Q38723,高等教育机构
Q47913,情报机构
Q105985,司法机构
Q196776,数字证书认证机构
Q213283,外交代表机构
Q231842,特设机构
Q245065,跨政府机构
Q282075,欧洲煤钢共同体高级机构
Q327333,政府机构
Q463080,区域互联网注册管理机构
Q570208,公法机构
Q730038,信贷机构
Q732717,执法机构
Q752106,立法广播机构
Q765517,信用评级机构
Q1005416,联邦政府机构
Q1110684,专业机构
Q1153014,连杆机构
Q1187145,消费者报告机构
Q1345691,国际金融机构
Q1470315,掩护机构
Q1792623,艺术教育机构
Q2093358,语言管理机构
Q2102938,平面四杆机构
Q2385804,教育机构
Q2485448,体育管理机构
Q2826641,英国政府行政机构
Q3054803,法国私立高等教育机构
Q3090847,英国消防机构
Q3591583,法国公立工商业机构
Q4287745,医疗机构
Q4671277,学术机构
Q4774348,反腐败机构
Q5193377,文化机构
Q5266746,开发金融机构
Q6503186,法律改革机构
Q7192831,香港公营机构
Q7574898,专责执法机构
Q7604698,法定机构
Q7604699,新加坡政府法定机构
Q7834360,交通运输机构
Q10871790,中共中央直属机构
Q10925941,国务院办事机构
Q10925962,国务院直属机构
Q10925963,国务院直属特设机构
Q11799049,公共机构
Q12301324,舆论调查机构
Q15708736,公共机构
Q15899789,联合国主要机构
Q16710795,专业高等教育机构
Q17505024,公共航天机构
Q20858006,美国联邦法律执行机构
Q23002037,公立教育机构
Q23002039,美国公立教育机构
Q23004361,专业教育机构
