P2044,altitude
P2131,gdp
P2046,area
P1142,political_ideology
P30,continent
P131,located_in_the_administrative_territorial_entity
P150,contains_administrative_territorial_entity
P1456,list_of_monuments
P625,coordinate_location
P206,located_in_or_next_to_body_of_water
P1082,population
P36,capital
P473,local_dialing_code
P47,shares_border_with
P281,postal_code
P2561,name
P4970,aliases
P1813,short_name
P2572,labels
P208,executive_branch
P1383,contains_settlement
P2238,official_symbol
P576,dissolved_abolished_or_demolished
P571,inception
P2884,mains_voltage
P1538,families
P1198,unemployment
P190,twin_town
P4290,official_app
P421,time_zone
P35,head_of_state
P6,head_of_government
P2852,emergency_phone_number
P122,basic_form_of_government
P209,highest_judicial_authority
P832,public_holiday
P78,top_level_domain
P2939,used_language
P1622,driving_side
P37,official_language
P194,legislature
P85,national_anthem
P1125,gini_coefficient
P38,currency
P163,flag
P138,named_after
P474,country_calling_code
P1334,coordinates_of_easternmost_point
P1332,coordinates_of_northernmost_point
P1333,coordinates_of_southernmost_point
P1335,coordinates_of_westernmost_point
P856,official_website
