P2044,altitude
P625,coordinate_location
P3896,geoshape
P17,country
P1448,name
P1449,aliases
P1813,short_name
P1082,population
P4080,number_of_houses
P281,postal_code
P1103,number_of_platform_tracks
P1619,date_of_official_opening
P5595,number_of_platform_faces
P1373,daily_patronage
P296,station_code
P856,official_website
P6375,street_address
P1128,employee_number
P127,owner
P1174,visitors_per_year
P3999,date_of_official_closure
P2403,total_assets
P571,inception
P154,logo_image
P2852,contact_phone_number
P2900,fax_number
P2786,aerodrome_reference_point
P529,runway
P3311,planning
P1139,floors_below_ground
P1101,floors_above_ground
P2043,length
P2049,width
P2048,height
P1638,code_name
P2053,watershed_area
P478,volume
P1314,number_of_spans
P2787,longest_span
P2067,mass
P1114,quantity
