P2900,fax
P740,location_of_formation
P159,headquarters_location
P112,founded_by
P6375,address
P749,parent_organization
P355,subsidiary
P571,inception
P154,logo_image
P1454,legal_form
P856,official_website
P452,industry
P1329,contact_phone_number
P1813,short_name
P1638,code_name
P169,chief_executive_officer
P1789,chief_operating_officer
P3174,art_director
P407,language_of_work
P449,original_broadcaster
P4290,official_app
P2541,operating_area
P2360,intended_public
P921,main_subject
P275,copyright_license
P870,instrumentation
P199,business_division
P1441,present_in_work
P437,distribution_format
P406,soundtrack_release
P800,notable_work
P2635,number_of_parts_of_this_work
P98,editor
P136,genre
P281,postal_code
P6801,number_of_hospital_beds
P2828,corporate_officer
P140,religion
P3989,members_have_occupation
P1170,transmitted_signal_type
P3975,secretary_general
P488,leader
P8626,opening_hours
P1174,visitors_per_year
P1037,director_of_the_organization
P1056,product_or_material_produced
P7936,business_model
P1142,political_ideology
P30,continent
P131,located_in_the_administrative_territorial_entity
P150,contains_administrative_territorial_entity
P1456,list_of_monuments
P206,located_in_or_next_to_body_of_water
P473,local_dialing_code
P47,shares_border_with
P208,executive_branch
P1383,contains_settlement
P2238,official_symbol
P576,dissolved_abolished_or_demolished
P2884,mains_voltage
P1538,families
P1198,unemployment
P190,twin_town
P421,time_zone
P2852,emergency_phone_number
P209,highest_judicial_authority
P832,public_holiday
P78,top_level_domain
P2939,used_language
P1622,driving_side
P37,official_language
P194,legislature
P38,currency
P163,flag
P138,named_after
P474,country_calling_code
P3896,geoshape
P17,country
P4080,number_of_houses
P1103,number_of_platform_tracks
P1619,date_of_official_opening
P5595,number_of_platform_faces
P1373,daily_patronage
P296,station_code
P127,owner
P3999,date_of_official_closure
P2403,total_assets
P2786,aerodrome_reference_point
P529,runway
P3311,planning
P1139,floors_below_ground
P1101,floors_above_ground
P1314,number_of_spans
P2787,longest_span
P1114,quantity
P1419,shape
P1552,has_quality
P1716,brand
P272,production_company
P178,developer
P186,material_used
P2073,vehicle_range
P2079,fabrication_method
P2309,relation
P2791,power_consumed
P306,operating_system
P3086,speed_limit
P50,author
P618,source_of_energy
P7153,place
P88,commissioned_by
P1071,register_loc
P3740,post_num
P3744,follow_num
P580,register_time
P2096,media_legend
P2292,consumption_rate
P582,end_time
P859,sponsor
P179,series
P1040,film_editor
P1104,number_of_pages
P123,publisher
P1431,executive_producer
P144,based_on
P161,cast_member
P166,award_received
P1680,subtitle
P170,creator
P1725,beats_per_minute
P180,depicts
P1881,list_of_characters
P195,collection
P2142,box_office
P2291,charted_in
P2408,set_in_period
P2515,costume_designer
P2554,production_designer
P2610,thickness
P2679,author_of_foreword
P2699,url
P291,main_subject
P3030,sheet_music
P3092,film_crew_member
P344,director_of_photography
P3803,original_film_format
P393,edition_number
P483,recorded_at
P57,director
P58,screenwriter
P629,edition_or_translation_of
P676,lyrics_by
P751,introduced_feature
P756,removed_feature
P767,contributor_to_the_creative_work_or_subject
P826,tonality
P840,narrative_location
P86,composer
P872,printed_by
P51,audio_frequency
P2317,call_sign
P289,vessel_class
P4137,muzzle_velocity
P4403,caliber
P520,armament
P606,first_flight
P729,service_entry
P730,service_retirement
P793,significant_event
P879,pennant_number
P1813,short_name
P2572,labels
P21,sex_or_gender
P4214,age
P20,place_of_death
P19,place_of_birth
P27,country_of_citizenship
P108,department_or_company
P551,hometown
P3373,sibling
P451,unmarried_partner
P40,child
P25,mother
P26,spouse
P22,father
P66,ancestral_home
P140,religion
P172,ethnic_group
P106,occupation
P463,member_of
P103,native_language
P39,position_held
P856,personal_website_account
P1196,manner_of_death
P509,cause_of_death
P69,school
P6375,address
P1329,phone_number
P2002,twitter_username
P968,email
P2013,facebook_id
PSM,social_media_account
P425,professional_division
P166,award_received
P812,academic_major
P569,date_of_birth
P746,date_of_disappearance
P570,date_of_death
P512,academic_degree
P937,work_location
P241,military_branch
P410,military_rank
P742,pseudonym
P102,member_of_political_party
P1142,political_leaning
