P2900,fax
P1128,employee_number
P740,location_of_formation
P2124,member_count
P159,headquarters_location
P112,founded_by
P6375,address
P749,parent_organization
P355,subsidiary
P571,inception
P154,logo_image
P1454,legal_form
P856,official_website
P452,industry
P1329,contact_phone_number
P2561,name
P4970,aliases
P1813,short_name
P2572,labels
P1638,code_name
P169,chief_executive_officer
P1789,chief_operating_officer
P3174,art_director
P407,language_of_work
P449,original_broadcaster
P4290,official_app
P2541,operating_area
P2360,intended_public
P921,main_subject
P275,copyright_license
P870,instrumentation
P199,business_division
P1441,present_in_work
P437,distribution_format
P406,soundtrack_release
P800,notable_work
P2635,number_of_parts_of_this_work
P98,editor
P136,genre
P281,postal_code
P6801,number_of_hospital_beds
P2828,corporate_officer
P140,religion
P3989,members_have_occupation
P1170,transmitted_signal_type
P3975,secretary_general
P488,leader
P2360,target_market
P8626,opening_hours
P1174,visitors_per_year
P1037,director_of_the_organization
P1056,product_or_material_produced
P7936,business_model
P488,president
P199,internal_institution
