P7153,place
P2284,price
P2561,name
P5168,aliases
P1813,short_name
P1705,labels
P1810,nonnative_names
P136,genre
P1071,location_of_formation
P186,material_used
P176,production_company
P1716,brand
P2079,fabrication_method
P1419,shape
P50,author
P478,volume
P618,source_of_energy
P571,inception
P2073,vehicle_range
P2791,power_consumed
P3086,speed_limit
P1552,has_quality
P88,commissioned_by
P2360,intended_public
P747,version
P2309,relation
P178,developer
P306,operating_system
P856,official_website
P186,ingredients
