P2067,mass
P2043,length
P2049,width
P2053,watershed area
P478,volume
P2284,price
P2044,altitude
P2050,wingspan
P2047,duration
P2386,diameter
P4403,caliber
P1071,location_of_creation
P520,armament
P2079,fabrication_method
P618,source_of_energy
P1716,brand
P1419,shape
P186,material_used
P606,first_flight
P729,service_entry
P730,service_retirement
P4137,muzzle_velocity
P793,significant_event
P289,vessel_class
P2317,call_sign
P879,pennant_number
P1813,short_name
P504,home_port
P361,subordinate_fleet
P516,power_system
P1029,crew_member
P2261,hull_width
P2043,flight_deck_length
P2049,flight_deck_width
P2262,draft
P2217,cruise_speed
P4791,warship_captain
